483:  [INFO] SCORE: 0.99578576
486:  [INFO] SCORE: 0.99357204
489:  [INFO] SCORE: 0.9846286
492:  [INFO] SCORE: 0.999847372
495:  [INFO] SCORE: 0.999001477
498:  [INFO] SCORE: 0.99037465
501:  [INFO] SCORE: 0.9877319
504:  [INFO] SCORE: 0.99519273
507:  [INFO] SCORE: 0.99709731
510:  [INFO] SCORE: 0.9852423
513:  [INFO] SCORE: 0.99885798
516:  [INFO] SCORE: 0.99017088
519:  [INFO] SCORE: 0.999153031
522:  [INFO] SCORE: 0.99845554
525:  [INFO] SCORE: 0.9863475
528:  [INFO] SCORE: 0.99015274
531:  [INFO] SCORE: 0.9430072
534:  [INFO] SCORE: 0.9895389
537:  [INFO] SCORE: 0.99827427
540:  [INFO] SCORE: 0.99053111
543:  [INFO] SCORE: 0.999358091
546:  [INFO] SCORE: 0.9407301
549:  [INFO] SCORE: 0.9845155
552:  [INFO] SCORE: 0.9858962
555:  [INFO] SCORE: 0.99797248
558:  [INFO] SCORE: 0.99242416
561:  [INFO] SCORE: 0.999855598
564:  [INFO] SCORE: 0.99454728
567:  [INFO] SCORE: 0.99832161
570:  [INFO] SCORE: 0.9899198
573:  [INFO] SCORE: 0.9889948
576:  [INFO] SCORE: 0.99540651
579:  [INFO] SCORE: 0.99856894
582:  [INFO] SCORE: 0.9264584
585:  [INFO] SCORE: 0.99266
588:  [INFO] SCORE: 0.99439535
591:  [INFO] SCORE: 0.9648218
594:  [INFO] SCORE: 0.99759831
597:  [INFO] SCORE: 0.99885055
600:  [INFO] SCORE: 0.9886428
603:  [INFO] SCORE: 0.99387673
606:  [INFO] SCORE: 0.99784464
609:  [INFO] SCORE: 0.9862827
612:  [INFO] SCORE: 0.999252045
615:  [INFO] SCORE: 0.99847382
618:  [INFO] SCORE: 0.9890072
621:  [INFO] SCORE: 0.99274422
624:  [INFO] SCORE: 0.9877568
627:  [INFO] SCORE: 0.9592257
630:  [INFO] SCORE: 0.99747723
633:  [INFO] SCORE: 0.999398536
636:  [INFO] SCORE: 0.9837081
639:  [INFO] SCORE: 0.99718625
642:  [INFO] SCORE: 0.99892643
645:  [INFO] SCORE: 0.99631602
648:  [INFO] SCORE: 0.9850757
651:  [INFO] SCORE: 0.99882819
654:  [INFO] SCORE: 0.99357781
657:  [INFO] SCORE: 0.9993192
660:  [INFO] SCORE: 0.99807144
663:  [INFO] SCORE: 0.999090422
666:  [INFO] SCORE: 0.99656167
669:  [INFO] SCORE: 0.9601412
672:  [INFO] SCORE: 0.9390041
675:  [INFO] SCORE: 0.99132111
678:  [INFO] SCORE: 0.9861315
681:  [INFO] SCORE: 0.99804701
684:  [INFO] SCORE: 0.9828681
687:  [INFO] SCORE: 0.9745104
690:  [INFO] SCORE: 0.99778361
693:  [INFO] SCORE: 0.999542187
696:  [INFO] SCORE: 0.9791753
699:  [INFO] SCORE: 0.99795176
702:  [INFO] SCORE: 0.9106263
705:  [INFO] SCORE: 0.9524873
708:  [INFO] SCORE: 0.987406
711:  [INFO] SCORE: 0.99531964
714:  [INFO] SCORE: 0.9909948
717:  [INFO] SCORE: 0.9661013
720:  [INFO] SCORE: 0.9855552
723:  [INFO] SCORE: 0.99859705
726:  [INFO] SCORE: 0.99738685
729:  [INFO] SCORE: 0.9755794
732:  [INFO] SCORE: 0.99672735
735:  [INFO] SCORE: 0.9877923
738:  [INFO] SCORE: 0.99665467
741:  [INFO] SCORE: 0.9884616
744:  [INFO] SCORE: 0.9568502
747:  [INFO] SCORE: 0.999787232
750:  [INFO] SCORE: 0.9897023
753:  [INFO] SCORE: 0.9079693
756:  [INFO] SCORE: 0.9510564
759:  [INFO] SCORE: 0.99256237
762:  [INFO] SCORE: 0.918805
765:  [INFO] SCORE: 0.99031472
768:  [INFO] SCORE: 0.9552921
771:  [INFO] SCORE: 0.9892374
774:  [INFO] SCORE: 0.9537005
777:  [INFO] SCORE: 0.9720957
780:  [INFO] SCORE: 0.9824538
783:  [INFO] SCORE: 0.9654816
786:  [INFO] SCORE: 0.9149596
789:  [INFO] SCORE: 0.9845763
792:  [INFO] SCORE: 0.9331608
795:  [INFO] SCORE: 0.99186682
798:  [INFO] SCORE: 0.9763251
801:  [INFO] SCORE: 0.9417181
804:  [INFO] SCORE: 0.9592362
807:  [INFO] SCORE: 0.9771071
810:  [INFO] SCORE: 0.9669526
813:  [INFO] SCORE: 0.9675135
816:  [INFO] SCORE: 0.99401985
819:  [INFO] SCORE: 0.9105924
822:  [INFO] SCORE: 0.9826646
825:  [INFO] SCORE: 0.9189447
828:  [INFO] SCORE: 0.99198338
831:  [INFO] SCORE: 0.9785085
834:  [INFO] SCORE: 0.9752417
837:  [INFO] SCORE: 0.9568348
840:  [INFO] SCORE: 0.9508045
843:  [INFO] SCORE: 0.99013014
846:  [INFO] SCORE: 0.99822323
849:  [INFO] SCORE: 0.9558627
852:  [INFO] SCORE: 0.9898693
855:  [INFO] SCORE: 0.9878706
858:  [INFO] SCORE: 0.9631431
861:  [INFO] SCORE: 0.99049043
864:  [INFO] SCORE: 0.9888174
867:  [INFO] SCORE: 0.99043967
870:  [INFO] SCORE: 0.9733321
873:  [INFO] SCORE: 0.9858063
876:  [INFO] SCORE: 0.9868163
879:  [INFO] SCORE: 0.9592503
882:  [INFO] SCORE: 0.9833424
885:  [INFO] SCORE: 0.9849701
888:  [INFO] SCORE: 0.9602246
891:  [INFO] SCORE: 0.9885692
894:  [INFO] SCORE: 0.9893703
897:  [INFO] SCORE: 0.9761329
900:  [INFO] SCORE: 0.9703214
903:  [INFO] SCORE: 0.99178953
906:  [INFO] SCORE: 0.9804294
909:  [INFO] SCORE: 0.9725506
912:  [INFO] SCORE: 0.9850496
915:  [INFO] SCORE: 0.9751092
918:  [INFO] SCORE: 0.9860937
921:  [INFO] SCORE: 0.9405198
924:  [INFO] SCORE: 0.9761957
927:  [INFO] SCORE: 0.9795491
930:  [INFO] SCORE: 0.9869828
933:  [INFO] SCORE: 0.9821494
936:  [INFO] SCORE: 0.99035635
939:  [INFO] SCORE: 0.9635625
942:  [INFO] SCORE: 0.9860133
945:  [INFO] SCORE: 0.99231965
948:  [INFO] SCORE: 0.981497
951:  [INFO] SCORE: 0.9456227
954:  [INFO] SCORE: 0.9856015
957:  [INFO] SCORE: 0.9554516
960:  [INFO] SCORE: 0.99164805
963:  [INFO] SCORE: 0.99098947
966:  [INFO] SCORE: 0.9830023
969:  [INFO] SCORE: 0.9696797
972:  [INFO] SCORE: 0.9734594
975:  [INFO] SCORE: 0.9604334
978:  [INFO] SCORE: 0.9852167
981:  [INFO] SCORE: 0.9876121
984:  [INFO] SCORE: 0.9811814
987:  [INFO] SCORE: 0.9697282
990:  [INFO] SCORE: 0.9870031
993:  [INFO] SCORE: 0.9927348
996:  [INFO] SCORE: 0.861078
999:  [INFO] SCORE: 0.9874853
1002:  [INFO] SCORE: 0.9980071
1005:  [INFO] SCORE: 0.99366769
1008:  [INFO] SCORE: 0.9335182
1011:  [INFO] SCORE: 0.9758554
1014:  [INFO] SCORE: 0.99333647
1017:  [INFO] SCORE: 0.9738349
1020:  [INFO] SCORE: 0.9307682
1023:  [INFO] SCORE: 0.9862856
1026:  [INFO] SCORE: 0.9164221
1029:  [INFO] SCORE: 0.99425774
1032:  [INFO] SCORE: 0.9854872
1035:  [INFO] SCORE: 0.99346106
1038:  [INFO] SCORE: 0.853642
1041:  [INFO] SCORE: 0.9847711
1044:  [INFO] SCORE: 0.9895998
1047:  [INFO] SCORE: 0.89409
1050:  [INFO] SCORE: 0.9830622
1053:  [INFO] SCORE: 0.790042
1056:  [INFO] SCORE: 0.99053744
1059:  [INFO] SCORE: 0.866477
1062:  [INFO] SCORE: 0.9804868
1065:  [INFO] SCORE: 0.9872727
1068:  [INFO] SCORE: 0.9821947
1071:  [INFO] SCORE: 0.99150409
1074:  [INFO] SCORE: 0.9860832
1077:  [INFO] SCORE: 0.9252561
1080:  [INFO] SCORE: 0.796542
1083:  [INFO] SCORE: 0.858896
1086:  [INFO] SCORE: 0.790712
1089:  [INFO] SCORE: 0.99161226
1092:  [INFO] SCORE: 0.9088023
1095:  [INFO] SCORE: 0.9025373
1098:  [INFO] SCORE: 0.9945682
1101:  [INFO] SCORE: 0.9572557
1104:  [INFO] SCORE: 0.99511695
1107:  [INFO] SCORE: 0.9710148
